time_s,delta_front_equivalent_deg,carsim_yaw_rate_deg_s,carsim_lateral_accel_g
12.38,-1.142068763728946,-2.7465224111282938,-0.06933489671689479
12.39,-1.1958065305017305,-2.8879443585780518,-0.07250798323520612
12.4,-1.2496032525863947,-3.0363917380918877,-0.07571599640754421
12.41,-1.304608558564461,-3.1906702262189057,-0.0791157319628776
12.42,-1.3613235685868599,-3.3449487143459122,-0.08251546751821145
12.43,-1.4194240284382968,-3.4992272024729383,-0.08591520307354569
12.44,-1.4775244882897192,-3.6535056905999643,-0.08943319030036945
12.450000000000001,-1.5376589064008077,-3.817268512013499,-0.09305957489272586
12.46,-1.5979112351356208,-3.9844035408177656,-0.09668595948508195
12.47,-1.660462821033509,-4.151538569622035,-0.10031234407743755
12.48,-1.7250188875351053,-4.322045805817045,-0.10393872866979365
12.49,-1.7893096551332641,-4.514893915975828,-0.10756511326214978
12.5,-1.8517138527514676,-4.70774202613461,-0.11119149785450566
12.51,-1.916093053317437,-4.891246311648157,-0.11487613511625568
12.52,-1.9821819579277336,-5.064493466348167,-0.11872916874563405
12.530000000000001,-2.04779922004306,-5.22333848531686,-0.12258220237501256
12.540000000000001,-2.112355286544654,-5.363214837712519,-0.12624588364434697
12.55,-2.1771176966377936,-5.4917802444850405,-0.12987226823670342
12.56,-2.2438256320227796,-5.632148377125204,-0.13349865282905946
12.57,-2.3086175197718735,-5.801180272586766,-0.13712503742141485
12.58,-2.37169970347662,-5.994379654348739,-0.14075142201377153
12.59,-2.4351356190526112,-6.200084305184774,-0.1441529039018062
12.6,-2.4996916855542057,-6.40438386960799,-0.14755263945713998
12.61,-2.5607104333433766,-6.597231979766744,-0.15095237501247358
12.620000000000001,-2.5736216466436965,-6.790080089925558,-0.15435211056780773
12.63,-2.5995325062121473,-6.98292820008432,-0.1577518461231416
12.64,-2.6232620192412686,-7.175776310243089,-0.1611515816784755
12.65,-2.6506172839506186,-7.368624420401872,-0.16433863885839728
12.66,-2.7131688698485172,-7.561472530560652,-0.16734682167448348
12.67,-2.8577567722185053,-7.7543206407194045,-0.16994187206865563
12.68,-2.911553494303172,-7.947168750878185,-0.1720696537271727
12.69,-2.9689464904121134,-8.140016861036948,-0.17392600538868386
12.700000000000001,-3.025690978090464,-8.33286497119575,-0.17619249575890683
12.71,-3.0807257617244725,-8.521989602360572,-0.17885989422213389
12.72,-3.134522483809131,-8.7019811718421,-0.1817323620397169
12.73,-3.1882897282378524,-8.881972741323604,-0.18467879952100608
12.74,-3.239934581439124,-9.050583110861334,-0.1875109769484083
12.75,-3.29157943464039,-9.217718139665578,-0.18999476100189605
12.76,-3.3406302541192257,-9.384853168469844,-0.1922612513721186
12.77,-3.387971369553732,-9.551988197274138,-0.19452774174234091
12.780000000000001,-3.435312484988244,-9.719123226078445,-0.1967942321125638
12.790000000000001,-3.482653600422736,-9.886258254882698,-0.19906072248278625
12.8,-3.523627542174886,-10.042152592384456,-0.20128230715497444
12.81,-3.5645130509592264,-10.196431080511452,-0.2033221484881748
12.82,-3.6041604981942212,-10.344667697063354,-0.2053619898213754
12.83,-3.6420982413848817,-10.486089644513132,-0.20740183115457556
12.84,-3.67408149807631,-10.626668540115233,-0.20918521105678084
12.85,-3.682688973609855,-10.755233946887717,-0.21077175431593656
12.86,-3.699550192805706,-10.861598988337782,-0.21235829757509217
12.870000000000001,-3.716765143872798,-10.955950540958275,-0.21394484083424825
12.88,-3.7351592011773613,-11.045946325699026,-0.21531982836044308
12.89,-3.751578255534158,-11.139244063509905,-0.2166797225825766
12.9,-3.7770764279194866,-11.242798932134328,-0.21792361041812197
12.91,-3.8954292165057525,-11.358507798229581,-0.2190568556032332
12.92,-3.925584858529086,-11.47421666432485,-0.22019010078834436
12.93,-3.9492554162463342,-11.581565266263862,-0.22132334597345582
12.94,-3.9718058230379873,-11.684417591681871,-0.22205792835046392
12.950000000000001,-3.990612567525669,-11.784108472671074,-0.22273787546153082
12.96,-4.003523780825985,-11.87354222284671,-0.22341782257259765
12.97,-4.016434994126305,-11.950681466910213,-0.2240977696836644
12.98,-4.029346207426621,-12.027820710973725,-0.22477771679473108
12.99,-4.039250699821387,-12.104959955037236,-0.22545766390579786
13.0,-4.049980566582383,-12.182099199100746,-0.22557628979143798
13.01,-4.062891779882702,-12.2562175073767,-0.22585495459534974
13.02,-4.075095529440535,-12.320078684839117,-0.2261251372118551
13.030000000000001,-4.079399267207308,-12.371504847548126,-0.2261251372118551
13.040000000000001,-4.087476144933992,-12.422931010257134,-0.2261251372118551
13.05,-4.090305999903924,-12.466277926092458,-0.2261251372118551
13.06,-4.092310480507626,-12.504847548124213,-0.2257753717193893
13.07,-4.095494067348801,-12.543417170155964,-0.22557628979143798
13.08,-4.095494067348801,-12.581705774905156,-0.22541762299171736
13.09,-4.095494067348801,-12.607418856259658,-0.22496432491767282
13.1,-4.0881836086764745,-12.633131937614161,-0.2245110268436284
13.11,-4.079576133142929,-12.642967542503863,-0.22384729567907394
13.120000000000001,-4.070968657609382,-12.653646199241257,-0.22300469015068347
13.13,-4.061358941773986,-12.67387944358578,-0.2220980940025945
13.14,-4.048329817849918,-12.67387944358578,-0.22119149785450548
13.15,-4.03111486678283,-12.67387944358578,-0.22028490170641646
13.16,-4.01389991571574,-12.653084164676127,-0.21937830555832757
13.17,-3.996684964648648,-12.642967542503863,-0.21827350064863776
13.18,-3.9785856839034532,-12.632569903049035,-0.2169898213751123
13.19,-3.9583345342748744,-12.606856821694535,-0.21552726773775088
13.200000000000001,-3.9346639765576166,-12.581143740340023,-0.21388583973655292
13.21,-3.9066896810735985,-12.542574118308272,-0.2120726474403751
13.22,-3.8752959775009046,-12.493747365462971,-0.21025945514419703
13.23,-3.841750405044825,-12.442321202753963,-0.20844626284801895
13.24,-3.8073205029106436,-12.390895040044956,-0.20663307055184105
13.25,-3.772890600776462,-12.33700997611353,-0.2047294431693444
13.26,-3.738460698642281,-12.272727272727268,-0.20264694142301173
13.27,-3.701937882936587,-12.195728537305058,-0.20038045105278948
13.280000000000001,-3.6637053631865517,-12.118589293241527,-0.1978924259055981
13.290000000000001,-3.6225545554987835,-12.03393283686945,-0.19539928649835325
13.3,-3.585648530265912,-11.939019249683838,-0.19290614709110862
13.31,-3.5611231205264917,-11.836166924265832,-0.19033479692645444
13.32,-3.5439081694593986,-11.733314598847814,-0.18761500848218712
13.33,-3.52669321839231,-11.630462273429828,-0.18489522003792078
13.34,-3.507886473904633,-11.527609948011817,-0.18196612114559432
13.35,-3.4770233681388056,-11.417380918926515,-0.17885814788943205
13.36,-3.4057169184276965,-11.29211746522411,-0.17568506137112064
13.370000000000001,-3.282117107084679,-11.150695517774341,-0.1724459884243086
13.38,-3.228320385000021,-11.009273570324547,-0.16906446462428865
13.39,-3.172548659967597,-10.867851622874813,-0.16589137810597748
13.4,-3.1120015546734052,-10.716594070535349,-0.1631124638259655
13.41,-3.0495973570552013,-10.562315582408324,-0.16054198682766163
13.42,-2.9871931594370014,-10.40340030911902,-0.15794731064763973
13.43,-2.924582618227233,-10.236265280314761,-0.1550662359046006
